"","X1","X2"
"1","2015-02-02","18:32:21"
"2","2015-02-18","13:17:01"
"3","2015-02-18","13:30:33"
"4","2015-02-19","12:11:08"
"5","2015-02-19","21:07:55"
"6","2015-02-19","21:11:05"
"7","2015-02-24","04:25:26"
"8","2015-02-24","04:25:26"
"9","2015-02-24","04:25:26"
"10","2015-02-24","04:25:26"
"11","2015-02-24","04:25:26"
"12","2015-02-24","04:25:26"
"13","2015-02-24","04:25:26"
"14","2015-02-24","11:26:40"
"15","2015-02-25","09:46:38"
"16","2015-02-26","16:23:29"
"17","2015-02-27","11:38:37"
"18","2015-03-01","15:59:07"
"19","2015-03-03","00:35:59"
"20","2015-03-07","18:08:34"
"21","2015-03-08","14:26:39"
"22","2015-03-08","20:05:35"
"23","2015-03-09","13:30:30"
"24","2015-03-09","13:30:30"
"25","2015-03-09","13:30:30"
"26","2015-03-09","16:54:11"
"27","2015-03-09","17:06:01"
"28","2015-03-09","18:03:11"
"29","2015-03-09","18:03:11"
"30","2015-03-09","18:03:11"
"31","2015-03-10","17:25:27"
"32","2015-03-11","17:05:10"
"33","2015-03-27","12:06:15"
"34","2015-03-30","07:44:45"
"35","2015-03-30","12:19:09"
"36","2015-03-30","12:19:09"
"37","2015-04-04","19:51:44"
"38","2015-04-07","20:54:40"
"39","2015-04-09","07:20:05"
"40","2015-04-09","14:46:25"
"41","2015-04-20","19:00:30"
"42","2015-04-21","11:20:28"
"43","2015-04-23","16:33:22"
"44","2015-04-23","19:10:28"
"45","2015-04-23","20:24:24"
"46","2015-04-23","20:39:47"
"47","2015-04-23","22:23:07"
"48","2015-04-24","08:22:39"
"49","2015-04-24","15:02:12"
"50","2015-04-24","19:57:06"
"51","2015-04-25","01:56:05"
"52","2015-04-25","06:33:36"
"53","2015-04-25","06:33:36"
"54","2015-04-25","06:33:36"
"55","2015-04-25","06:33:36"
"56","2015-04-25","06:33:36"
"57","2015-04-25","06:33:36"
"58","2015-04-25","14:23:39"
"59","2015-04-25","16:46:20"
"60","2015-04-25","21:24:09"
"61","2015-04-26","07:03:23"
"62","2015-04-26","14:31:47"
"63","2015-04-26","18:51:58"
"64","2015-04-27","08:35:18"
"65","2015-04-27","11:44:33"
"66","2015-04-27","18:03:31"
"67","2015-04-27","19:02:23"
"68","2015-04-27","19:07:40"
"69","2015-04-27","19:21:57"
"70","2015-04-27","21:27:55"
"71","2015-04-28","00:44:14"
"72","2015-04-28","06:01:38"
"73","2015-04-28","06:04:33"
"74","2015-04-28","12:39:05"
"75","2015-04-28","16:01:45"
"76","2015-04-28","17:57:25"
"77","2015-04-28","17:57:25"
"78","2015-04-28","21:20:26"
"79","2015-04-28","23:47:22"
"80","2015-04-29","07:16:03"
"81","2015-04-29","10:28:40"
"82","2015-04-30","14:07:51"
"83","2015-05-01","11:11:35"
"84","2015-05-01","16:30:12"
"85","2015-05-01","16:30:33"
"86","2015-05-01","17:09:16"
"87","2015-05-01","17:31:10"
"88","2015-05-01","17:59:08"
"89","2015-05-02","01:43:59"
"90","2015-05-02","07:44:34"
"91","2015-05-02","13:19:23"
"92","2015-05-02","16:19:03"
"93","2015-05-02","16:19:03"
"94","2015-05-02","18:08:16"
"95","2015-05-03","08:27:33"
"96","2015-05-03","09:51:59"
"97","2015-05-03","09:51:59"
"98","2015-05-03","14:30:40"
"99","2015-05-03","15:49:11"
"100","2015-05-03","16:10:15"
"101","2015-05-04","06:17:42"
"102","2015-05-04","06:17:42"
"103","2015-05-04","09:46:30"
"104","2015-05-04","09:46:30"
"105","2015-05-04","12:37:15"
"106","2015-05-04","13:35:05"
