"","quitID","userID","attempt_no","quit_date","relative_quit_date","timeStamp"
"59","49912015040420540215iOS",4991,1,"2015-04-07",6,"2015-04-04 20:54:02"
"60","50012015040722262615iOS",5001,1,"2015-04-09",5,"2015-04-07 22:26:26"
"61","50112015040908213215iOS",5011,1,"2015-04-09",3,"2015-04-09 08:21:32"
"65","50512015042317355015And",5051,1,"2015-05-05",15,"2015-04-23 17:35:50"
"67","50812015042321270015And",5081,1,"2015-04-27",7,"2015-04-23 21:27:00"
"68","50912015042321413315And",5091,1,"2015-05-06",16,"2015-04-23 21:41:33"
"69","51012015042323261615And",5101,1,"2015-05-04",14,"2015-04-23 23:26:16"
"71","51312015042416033615And",5131,1,"2015-04-26",5,"2015-04-24 16:03:36"
"72","51412015042421002815And",5141,1,"2015-04-24",3,"2015-04-24 21:00:28"
"73","51512015042502580715And",5151,1,"2015-04-27",5,"2015-04-25 02:58:07"
"74","51612015042507320215And",5161,1,"2015-04-25",3,"2015-04-25 07:32:02"
"75","51612015042520233215And",5161,1,"2015-04-25",3,"2015-04-25 20:23:32"
"76","51612015050321070415And",5161,1,"2015-05-03",3,"2015-05-03 21:07:04"
"77","51612015051019344215And",5161,1,"2015-05-10",3,"2015-05-10 19:34:42"
"78","51612015051019344315And",5161,1,"2015-05-10",3,"2015-05-10 19:34:43"
"79","51612015052707305315And",5161,1,"2015-05-27",3,"2015-05-27 07:30:53"
"80","51912015042515254615And",5191,1,"2015-04-29",7,"2015-04-25 15:25:46"
"81","51912015050714011315And",5191,2,"2015-05-08",4,"2015-05-07 14:01:13"
"83","52212015042522284015And",5221,1,"2015-05-04",12,"2015-04-25 22:28:40"
"84","52212015042818292515And",5221,1,"2015-05-07",12,"2015-04-28 18:29:25"
"85","52312015042608054615iOS",5231,1,"2015-04-26",3,"2015-04-26 08:05:46"
"86","52312015042608094515iOS",5231,2,"2015-05-10",17,"2015-04-26 08:09:45"
"87","52312015051208340415iOS",5231,3,"2015-05-18",9,"2015-05-12 08:34:04"
"88","52412015042615334815And",5241,1,"2015-04-27",4,"2015-04-26 15:33:48"
"89","52512015042619541815iOS",5251,1,"2015-05-10",17,"2015-04-26 19:54:18"
"90","52712015042709415415iOS",5271,1,"2015-04-27",3,"2015-04-27 09:41:54"
"92","52912015042719071915iOS",5291,1,"2015-04-28",4,"2015-04-27 19:07:19"
"93","52912015042818411615iOS",5291,2,"2015-04-29",4,"2015-04-28 18:41:16"
"94","53012015042720040915iOS",5301,1,"2015-05-07",13,"2015-04-27 20:04:09"
"95","53012015053122294515iOS",5301,2,"2015-05-31",3,"2015-05-31 22:29:45"
"96","53112015042720094515iOS",5311,1,"2015-04-28",4,"2015-04-27 20:09:45"
"97","53112015050110570215iOS",5311,2,"2015-05-01",3,"2015-05-01 10:57:02"
"98","53212015042720242415And",5321,1,"2015-04-28",4,"2015-04-27 20:24:24"
"101","53512015042801460815And",5351,1,"2015-05-01",6,"2015-04-28 01:46:08"
"102","53612015042807034415iOS",5361,1,"2015-05-01",6,"2015-04-28 07:03:44"
"103","53712015042807062715iOS",5371,1,"2015-05-10",15,"2015-04-28 07:06:27"
"104","53912015042813390915And",5391,1,"2015-05-02",7,"2015-04-28 13:39:09"
"105","54012015042817031315And",5401,1,"2015-05-01",6,"2015-04-28 17:03:13"
"106","54112015042819000315And",5411,1,"2015-05-08",13,"2015-04-28 19:00:03"
"107","54112015042819000415And",5411,1,"2015-05-08",13,"2015-04-28 19:00:04"
"108","54212015042822230315iOS",5421,1,"2015-05-05",10,"2015-04-28 22:23:03"
"109","54212015051116390415iOS",5421,2,"2015-05-11",3,"2015-05-11 16:39:04"
"110","54312015042900501215iOS",5431,1,"2015-04-28",3,"2015-04-29 00:50:12"
"111","54412015042908181715iOS",5441,1,"2015-04-27",1,"2015-04-29 08:18:17"
"113","55012015043015101815And",5501,1,"2015-05-05",8,"2015-04-30 15:10:18"
"114","55012015051511011015And",5501,2,"2015-05-15",3,"2015-05-15 11:01:10"
"115","55012015052818022915And",5501,3,"2015-05-28",3,"2015-05-28 18:02:29"
"116","55112015050112143815And",5511,1,"2015-05-01",3,"2015-05-01 12:14:38"
"117","55212015050117322515iOS",5521,1,"2015-05-05",7,"2015-05-01 17:32:25"
"118","55212015050522245215iOS",5521,2,"2015-05-06",4,"2015-05-05 22:24:52"
"119","55212015050617395115iOS",5521,3,"2015-05-07",4,"2015-05-06 17:39:51"
"120","55212015050818514915iOS",5521,4,"2015-05-11",6,"2015-05-08 18:51:49"
"121","55212015051510082215iOS",5521,5,"2015-05-15",3,"2015-05-15 10:08:22"
"122","55312015050117330415iOS",5531,1,"2015-05-01",3,"2015-05-01 17:33:04"
"123","55312015050318130815iOS",5531,2,"2015-05-03",3,"2015-05-03 18:13:08"
"124","55612015050118112415iOS",5561,1,"2015-05-04",6,"2015-05-01 18:11:24"
"125","55612015050523042415iOS",5561,2,"2015-05-05",3,"2015-05-05 23:04:24"
"126","55612015050721551415iOS",5561,3,"2015-05-07",3,"2015-05-07 21:55:14"
"127","55612015051500233315iOS",5561,4,"2015-05-14",3,"2015-05-15 00:23:33"
"128","55712015050118323915iOS",5571,1,"2015-05-15",17,"2015-05-01 18:32:39"
"129","55812015050119064615iOS",5581,1,"2015-05-04",6,"2015-05-01 19:06:46"
"130","56112015050202464415And",5611,1,"2015-05-02",3,"2015-05-02 02:46:44"
"132","56312015050214214015And",5631,1,"2015-05-13",14,"2015-05-02 14:21:40"
"133","56412015050217230215And",5641,1,"2015-05-05",6,"2015-05-02 17:23:02"
"134","56412015050217230315And",5641,1,"2015-05-05",6,"2015-05-02 17:23:03"
