"","userID","action","value","day_no","quitID","timeStamp"
"2969",4991,"aids_meds","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2970",4991,"aids_nhs","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2971",4991,"aids_quitline","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2972",4991,"aids_apps","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2973",4991,"aids_web","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2974",4991,"aids_ecigs","1",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2975",4991,"aids_other","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2976",4991,"aids_none","2",-3,"49912015040420540215iOS","2015-04-04 20:54:02"
"2977",4991,"login","",-3,"49912015040420540215iOS","2015-04-04 20:54:20"
"2978",4991,"clicked","push_setup_enabled",-3,"49912015040420540215iOS","2015-04-04 20:54:20"
"2979",4991,"points","11",-3,"49912015040420540215iOS","2015-04-04 20:54:21"
"2980",4991,"clicked","menu_lifestyles",-3,"49912015040420540215iOS","2015-04-04 20:54:55"
"2981",4991,"clicked","lifestyles_symptoms",-3,"49912015040420540215iOS","2015-04-04 20:54:57"
"2982",4991,"clicked","lifestyles_nonsmoker",-3,"49912015040420540215iOS","2015-04-04 20:55:05"
"2983",4991,"clicked","lifestyles_routines",-3,"49912015040420540215iOS","2015-04-04 20:55:11"
"2984",4991,"clicked","lifestyles_social",-3,"49912015040420540215iOS","2015-04-04 20:55:19"
"2985",4991,"clicked","lifestyles_social",-3,"49912015040420540215iOS","2015-04-04 20:55:29"
"2986",4991,"clicked","lifestyles_eatdrink",-3,"49912015040420540215iOS","2015-04-04 20:55:31"
"2987",4991,"clicked","menu_medicines",-3,"49912015040420540215iOS","2015-04-04 20:55:38"
"2988",4991,"clicked","medicines_ecigs",-3,"49912015040420540215iOS","2015-04-04 20:55:44"
"2989",4991,"clicked","medicines_zyban",-3,"49912015040420540215iOS","2015-04-04 20:55:52"
"2990",4991,"clicked","menu_howtouse",-3,"49912015040420540215iOS","2015-04-04 20:55:59"
"2991",4991,"clicked","menu_about",-3,"49912015040420540215iOS","2015-04-04 20:56:12"
"2992",4991,"clicked","about_study",-3,"49912015040420540215iOS","2015-04-04 20:56:18"
"2993",4991,"clicked","about_study",-3,"49912015040420540215iOS","2015-04-04 20:56:30"
"2994",4991,"clicked","about_agreement",-3,"49912015040420540215iOS","2015-04-04 20:56:31"
"2995",4991,"clicked","about_agreement",-3,"49912015040420540215iOS","2015-04-04 20:56:47"
"2996",4991,"clicked","about_agreement",-3,"49912015040420540215iOS","2015-04-04 20:56:48"
"2997",4991,"clicked","about_agreement",-3,"49912015040420540215iOS","2015-04-04 20:56:51"
"2998",4991,"clicked","menu_settings",-3,"49912015040420540215iOS","2015-04-04 20:56:53"
"2999",4991,"clicked","menu_timeline",-3,"49912015040420540215iOS","2015-04-04 20:57:05"
"3000",4991,"clicked","menu_profile",-3,"49912015040420540215iOS","2015-04-04 20:57:08"
"3001",5001,"aids_meds","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3002",5001,"aids_nhs","1",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3003",5001,"aids_quitline","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3004",5001,"aids_apps","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3005",5001,"aids_web","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3006",5001,"aids_ecigs","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3007",5001,"aids_other","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3008",5001,"aids_none","2",-2,"50012015040722262615iOS","2015-04-07 22:26:26"
"3009",5001,"login","",-2,"50012015040722262615iOS","2015-04-07 22:26:39"
"3010",5001,"clicked","push_setup_enabled",-2,"50012015040722262615iOS","2015-04-07 22:26:39"
"3011",5001,"points","11",-2,"50012015040722262615iOS","2015-04-07 22:26:40"
"3012",5001,"clicked","menu_lifestyles",-2,"50012015040722262615iOS","2015-04-07 22:27:32"
"3013",5001,"clicked","lifestyles_eatdrink",-2,"50012015040722262615iOS","2015-04-07 22:27:37"
"3014",5001,"clicked","lifestyles_routines",-2,"50012015040722262615iOS","2015-04-07 22:27:44"
"3015",5001,"clicked","lifestyles_nonsmoker",-2,"50012015040722262615iOS","2015-04-07 22:28:11"
